ATIVO;SUBATIVO;PERIODICIDADE (DIAS);LUBRIFICANTE;QTD(G);TIPO;DESCRIÇÃO;ULTIMA (DATA);PRÓXIMA (DATA);ULTIMA (HORAS);PRÓXIMA (HORAS);TIMER (DIAS);STATUS
CALDEIRA;ROSCA EXTRAÇÃO CINZA MANCAIS;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;EIXO PÁ VALVULA ROTATIVA;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;UNIDADE HIDRÁULICA;180;;;GRAXA;LUBRIFICAÇÃO;2026-01-19;2026-07-18;;4320.0;166;🟢 No Prazo
CALDEIRA;SOPRADOR DE FULIGEM CREMALHEIRA;30;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-18;2026-03-20;;720.0;16;🟢 No Prazo
CALDEIRA;SOPRADOR DE FULIGEM REDUTOR;180;;;GRAXA;LUBRIFICAÇÃO;2026-01-19;2026-07-18;;4320.0;166;🟢 No Prazo
CALDEIRA;BOMBAS DE ÁGUA;180;;;GRAXA;LUBRIFICAÇÃO;2026-01-19;2026-07-18;;4320.0;166;🟢 No Prazo
ONDULADEIRA;ROLO GUIA 1;30;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-26;2026-02-25;;720.0;23;🟢 No Prazo
ONDULADEIRA;ROLO CORRUGADO SUPERIOR;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-10;2026-02-25;;360.0;5;🟢 No Prazo
ONDULADEIRA;ROLO CORRUGADO INFERIOR;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-10;2026-02-25;;360.0;5;🟢 No Prazo
ONDULADEIRA;ROLO CORRUGADO MESTRE;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-10;2026-02-25;;360.0;5;🟢 No Prazo
ONDULADEIRA;UNIDADE HIDRÁULICA;30;ÓLEO 68;;ÓLEO;LUBRIFICAÇÃO;2026-01-26;2026-02-25;;720.0;23;🟢 No Prazo
